case,projection,method,region,cell_count,raw_max_abs_K_m,p99_abs_K_m,rms_abs_K_m,mean_abs_K_m,median_abs_K_m,raw_max_over_p99
Maxwell_b,surface,least_squares_radius_0.2um,inside_band_0p1_to_0p3um,425,8487.937376316697,8425.535943239858,4092.819277480003,3387.2615262415584,3158.568839232433,1.0074062271524586
Maxwell_b,surface,least_squares_radius_0.3um,original_staircase_edge,142,9016.960114399744,9013.557334743453,5801.712094024439,4948.778490912032,5368.185360911992,1.0003775179465686
Maxwell_b,surface,least_squares_radius_0.3um,inside_n_0p1um,283,7835.108183310624,7826.403424856496,4679.677530862472,3987.6523100384666,4287.786648535213,1.0011122297154376
Maxwell_b,surface,least_squares_radius_0.3um,inside_n_0p2um,283,6800.4961241682895,6693.779465990165,4031.4611466036827,3445.3601632734526,3715.2286145831376,1.0159426612006464
Maxwell_b,surface,least_squares_radius_0.3um,inside_n_0p3um,283,4782.825710315657,4762.872914987225,2527.7600698633164,2160.2160840398697,1874.7815051595721,1.004189235296547
Maxwell_b,surface,least_squares_radius_0.3um,inside_band_0p1_to_0p3um,425,6800.4961241682895,6686.876814317974,3701.4075625814053,3140.58215882649,3142.877522584456,1.0169913867124085
Maxwell_b,surface,least_squares_radius_0.4um,original_staircase_edge,142,7677.870891496542,7650.769964263506,4918.634164054682,4205.923165271605,4539.387775693995,1.0035422483435816
Maxwell_b,surface,least_squares_radius_0.4um,inside_n_0p1um,283,6877.339065061036,6813.166452966969,4091.307388908377,3502.389826422651,3771.6570007584824,1.0094189115350503
Maxwell_b,surface,least_squares_radius_0.4um,inside_n_0p2um,283,5951.625747274686,5889.597769280097,3503.354616352679,3006.027191191272,3171.987544472793,1.0105317850937332
Maxwell_b,surface,least_squares_radius_0.4um,inside_n_0p3um,283,4562.796376472528,4485.21494555201,2540.74552432206,2184.5181376870373,2190.299760025913,1.017297148935405
Maxwell_b,surface,least_squares_radius_0.4um,inside_band_0p1_to_0p3um,425,5951.625747274686,5874.282234821034,3282.336221515651,2806.253190028343,2819.0902594640324,1.0131664617670533
Maxwell_b,midplane,mask_aware_finite_difference,original_staircase_edge,142,12242.390576210937,12237.833758121633,7955.13186114881,6713.899494754765,7510.408303686725,1.0003723549591674
Maxwell_b,midplane,mask_aware_finite_difference,inside_n_0p1um,283,11383.151696219338,11370.017722234517,6772.263274007981,5688.227443339088,6292.059872323275,1.0011551410301796
Maxwell_b,midplane,mask_aware_finite_difference,inside_n_0p2um,283,9228.53179809891,9221.370002037891,5317.760029345795,4436.424561270146,4889.414603745413,1.0007766520657382
Maxwell_b,midplane,mask_aware_finite_difference,inside_n_0p3um,283,4814.535654619813,4809.853141165801,2632.8353004727114,2179.694273082493,2218.150036433703,1.0009735252442398
Maxwell_b,midplane,mask_aware_finite_difference,inside_band_0p1_to_0p3um,425,9228.53179809891,9208.568397778681,4696.953844114888,3829.9169356448056,3910.1535749521454,1.0021679157343333
Maxwell_b,midplane,least_squares_radius_0.2um,original_staircase_edge,142,11490.837921161687,11483.529756484926,7463.570634555905,6306.624679075183,7073.2812096800435,1.0006364040353215
Maxwell_b,midplane,least_squares_radius_0.2um,inside_n_0p1um,283,10277.66073892352,10243.382201254235,6322.187414181075,5326.990586929251,5988.087948243781,1.0033464081487742
Maxwell_b,midplane,least_squares_radius_0.2um,inside_n_0p2um,283,9375.74225270367,9343.98037531461,5305.436427427153,4432.834866758308,4865.651004213305,1.0033991806610565
Maxwell_b,midplane,least_squares_radius_0.2um,inside_n_0p3um,283,5415.459910759934,5192.859458439508,2749.249831079574,2275.045244963778,2394.748442901911,1.042866642955001
Maxwell_b,midplane,least_squares_radius_0.2um,inside_band_0p1_to_0p3um,425,9375.74225270367,9329.260382155537,4713.495179691947,3858.3587965613956,3971.3040321175345,1.0049823746625233
Maxwell_b,midplane,least_squares_radius_0.3um,original_staircase_edge,142,9904.279126099746,9900.712025010265,6461.777643710899,5470.384305581371,6096.730920090166,1.000360287328878
Maxwell_b,midplane,least_squares_radius_0.3um,inside_n_0p1um,283,8740.459249624955,8724.813088910458,5332.239008230104,4494.121085702651,5069.746708729836,1.0017932946591583
Maxwell_b,midplane,least_squares_radius_0.3um,inside_n_0p2um,283,7644.392142103703,7567.306253283543,4641.590829594741,3906.5265074496924,4403.592056461733,1.0101867013492036
Maxwell_b,midplane,least_squares_radius_0.3um,inside_n_0p3um,283,5530.815156332456,5499.653382482471,2977.207798742432,2471.885306769738,2657.1494712821327,1.0056661341511526
Maxwell_b,midplane,least_squares_radius_0.3um,inside_band_0p1_to_0p3um,425,7644.392142103703,7556.680062737449,4278.182525954593,3569.9677717380555,3959.135501947735,1.0116072241563818
Maxwell_b,midplane,least_squares_radius_0.4um,original_staircase_edge,142,8577.137125125662,8557.701916366552,5584.118893001415,4722.241042902559,5287.027774067771,1.002271078024106
Maxwell_b,midplane,least_squares_radius_0.4um,inside_n_0p1um,283,7732.579593919928,7688.604761492839,4698.68437351252,3962.686336736517,4421.4534709379805,1.0057194814652626
Maxwell_b,midplane,least_squares_radius_0.4um,inside_n_0p2um,283,6753.947535067152,6736.282198546911,4057.7310347219714,3417.009377736933,3827.54208753821,1.0026224163417696
Maxwell_b,midplane,least_squares_radius_0.4um,inside_n_0p3um,283,5237.189925768898,5207.335197320437,2968.5015983853177,2489.2809620535836,2735.8708502916656,1.0057332065859375
Maxwell_b,midplane,least_squares_radius_0.4um,inside_band_0p1_to_0p3um,425,6753.947535067152,6718.992093236156,3806.782279030224,3190.6779715626667,3506.5593928548446,1.0052024829536836
Maxwell_b,thickness_average,mask_aware_finite_difference,original_staircase_edge,142,13193.92976799405,13189.377839772373,8674.375255183508,7336.056075927711,8252.243451610784,1.000345120768923
Maxwell_b,thickness_average,mask_aware_finite_difference,inside_n_0p1um,283,12295.161107152999,12280.333264698358,7399.896011369008,6242.950252953117,7001.12952725986,1.0012074462585854
Maxwell_b,thickness_average,mask_aware_finite_difference,inside_n_0p2um,283,9952.830340286837,9944.30965673284,5782.846278845881,4839.779238951842,5359.338467867516,1.0008568401274822
Maxwell_b,thickness_average,mask_aware_finite_difference,inside_n_0p3um,283,5090.50732968552,5084.61819331599,2800.6682098382616,2305.585601891604,2423.851466736758,1.0011582258776621
Maxwell_b,thickness_average,mask_aware_finite_difference,inside_band_0p1_to_0p3um,425,9952.830340286837,9932.650169979433,5093.686054022062,4154.678787461521,4281.885390007733,1.0020317004990669
Maxwell_b,thickness_average,least_squares_radius_0.2um,original_staircase_edge,142,12402.437148445857,12391.392046379618,8157.042510376724,6916.497330422609,7735.4812439711,1.000891352805633
Maxwell_b,thickness_average,least_squares_radius_0.2um,inside_n_0p1um,283,11086.042638135405,11058.395927613155,6894.224866171438,5831.513933409374,6533.409352794269,1.0025000651724916
Maxwell_b,thickness_average,least_squares_radius_0.2um,inside_n_0p2um,283,10096.357795082678,10074.535637954792,5764.188576873234,4828.8416139565,5387.923014725253,1.0021660707661477
Maxwell_b,thickness_average,least_squares_radius_0.2um,inside_n_0p3um,283,5739.706112341997,5531.970069632814,2937.4082086858293,2418.1495082572833,2597.560108788136,1.0375519100961028
Maxwell_b,thickness_average,least_squares_radius_0.2um,inside_band_0p1_to_0p3um,425,10096.357795082678,10024.85438293984,5110.190831482262,4185.125582000501,4366.606299281774,1.0071326135434466
Maxwell_b,thickness_average,least_squares_radius_0.3um,original_staircase_edge,142,10672.830340197668,10668.30622840356,7042.19199273255,5978.656488888874,6678.81537356216,1.0004240702973133
Maxwell_b,thickness_average,least_squares_radius_0.3um,inside_n_0p1um,283,9398.028598378442,9391.539035021617,5791.611353865981,4892.94305191172,5525.564557899842,1.0006910010523968
Maxwell_b,thickness_average,least_squares_radius_0.3um,inside_n_0p2um,283,8228.522293517868,8121.739914029488,5029.119851449737,4239.331377697132,4807.864753108771,1.0131477221160363
Maxwell_b,thickness_average,least_squares_radius_0.3um,inside_n_0p3um,283,5894.801207388863,5880.086191412515,3202.408310904847,2651.8403715645395,2958.748884903872,1.0025025170545694
Maxwell_b,thickness_average,least_squares_radius_0.3um,inside_band_0p1_to_0p3um,425,8228.522293517868,8102.297680713637,4630.367255818115,3866.249059426782,4280.999560751936,1.0155788663633885
Maxwell_b,thickness_average,least_squares_radius_0.4um,original_staircase_edge,142,9237.059418243054,9197.053269707618,6067.81969955456,5143.213290377048,5768.422046816057,1.0043498876609973
Maxwell_b,thickness_average,least_squares_radius_0.4um,inside_n_0p1um,283,8312.795551193403,8241.944688154876,5091.286521883365,4298.431063401545,4827.412958749734,1.0085963769133701
Maxwell_b,thickness_average,least_squares_radius_0.4um,inside_n_0p2um,283,7248.095055471303,7209.296148293549,4388.171249379011,3695.8226832216696,4179.514691411547,1.005381788510233
Maxwell_b,thickness_average,least_squares_radius_0.4um,inside_n_0p3um,283,5583.8515155872365,5570.168891051436,3198.127622947389,2678.024903402139,3005.5476775752954,1.0024564110718046
