source,polarization,mesh_nm,fit_band,component,maximum_abs_K_m,p99_abs_K_m,edge_strip_mean_abs_K_m,edge_integrated_abs_K,fit_residual_p99,profile_path,profile_sha256
legacy_Lumerical_edge_Q,b,100,wide,x,12087.616257632173,12083.715690618688,6511.140635274448,0.10516027577791598,0.0074338647854250515,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_100nm_wide.npz,39af1f51f5f5eaa13806facb3fd7dedbdd5f87369e7307c25ad37d6967297fd9
legacy_Lumerical_edge_Q,b,100,wide,n,18623.849669716834,18610.243110320178,9755.678241154694,0.15708251690606084,0.0074338647854250515,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_100nm_wide.npz,39af1f51f5f5eaa13806facb3fd7dedbdd5f87369e7307c25ad37d6967297fd9
analytic_paper_source,b,50,primary,x,31167.139767134162,31121.66168039285,19621.866629875603,0.31654668060785857,0.003086106977943505,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_50nm_primary.npz,14a8dbdcc48849e0b3e236d083e4ccc3461a93637c533bc0fc1b0880d6ac6487
analytic_paper_source,b,50,primary,n,9253.480759156753,9251.911710754011,5467.321875040859,0.08819178607000627,0.003086106977943505,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_50nm_primary.npz,14a8dbdcc48849e0b3e236d083e4ccc3461a93637c533bc0fc1b0880d6ac6487
analytic_paper_source,b,50,narrow,x,32788.56549016052,32708.838152920303,20866.509931058616,0.33662750053759405,0.0020112162310690165,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_50nm_narrow.npz,eaa9bc52dabe83d8b8af1ec38f1822fe7c310d4858e21ea011d4539a495dcdf1
analytic_paper_source,b,50,narrow,n,12040.151557687379,12036.744759273124,7534.627722140612,0.12154188499108992,0.0020112162310690165,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_50nm_narrow.npz,eaa9bc52dabe83d8b8af1ec38f1822fe7c310d4858e21ea011d4539a495dcdf1
analytic_paper_source,b,50,wide,x,30544.00910278459,30530.77968946782,18863.178213602398,0.3043065977514615,0.004291690300733636,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_50nm_wide.npz,e2b284d0c3282e22122c55859a958a565e592414352cde4368753113470c0b94
analytic_paper_source,b,50,wide,n,7859.869962412907,7849.297206381733,4102.439456005931,0.06618368568588845,0.004291690300733636,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/analytic_paper_source_b_50nm_wide.npz,e2b284d0c3282e22122c55859a958a565e592414352cde4368753113470c0b94
legacy_Lumerical_edge_Q,b,50,primary,x,21521.914153992333,21506.18231560419,11592.366801463864,0.1871360643564501,0.004076214481342447,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_50nm_primary.npz,31b84b07299fe041f66820f583aa3a2363e3543e6902e24d4a13944a69c5ef79
legacy_Lumerical_edge_Q,b,50,primary,n,27035.21070945397,27018.56245539803,15868.830505211527,0.2562856509942485,0.004076214481342447,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_50nm_primary.npz,31b84b07299fe041f66820f583aa3a2363e3543e6902e24d4a13944a69c5ef79
legacy_Lumerical_edge_Q,b,50,narrow,x,21783.34759325365,21781.982452781573,11306.933555286481,0.18203085471195654,0.002364118061144902,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_50nm_narrow.npz,177a5367f6c5747ba69ff9aef88c631a938839776045e0bc558294457fea5676
legacy_Lumerical_edge_Q,b,50,narrow,n,21776.95454387066,21772.698899573195,13163.520500445184,0.2126239430118548,0.002364118061144902,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_50nm_narrow.npz,177a5367f6c5747ba69ff9aef88c631a938839776045e0bc558294457fea5676
legacy_Lumerical_edge_Q,b,50,wide,x,13758.370999010118,13745.075942893855,7580.080516010418,0.12247605043537099,0.00785111381809245,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_50nm_wide.npz,f369dc653162216cabf9542fceac916c836f5d9796567604b96de0a6cd870220
legacy_Lumerical_edge_Q,b,50,wide,n,20831.14307030973,20809.293497140687,11013.14161349728,0.17743654618064836,0.00785111381809245,/home/seunghyun/tairte4/artifacts/paper_ir_lumerical_sanity/robust_edge_gradient_20260730/profiles/legacy_Lumerical_edge_Q_b_50nm_wide.npz,f369dc653162216cabf9542fceac916c836f5d9796567604b96de0a6cd870220
