case_type,beta,direction,step,adjoint,finite_difference,relative_error
mapping_only_centered_fd,4.0,central_localized,0.001,1954.4424384457561,1954.4395468210496,1.4795138754942778e-06
mapping_only_centered_fd,4.0,central_localized,0.0005,1954.4424384457561,1954.4417155411793,3.6987765032749774e-07
mapping_only_centered_fd,4.0,central_localized,0.00025,1954.4424384457561,1954.4422577237128,9.246731433046031e-08
mapping_only_centered_fd,4.0,design_edge_localized,0.001,569.7700990487665,569.7692639241723,1.4657220440778268e-06
mapping_only_centered_fd,4.0,design_edge_localized,0.0005,569.7700990487665,569.7698902677075,3.664303537889733e-07
mapping_only_centered_fd,4.0,design_edge_localized,0.00025,569.7700990487665,569.7700468554103,9.160423871963413e-08
mapping_only_centered_fd,4.0,fixed_seed_random,0.001,-211.56219030941313,-211.56218950636685,3.795792978948033e-09
mapping_only_centered_fd,4.0,fixed_seed_random,0.0005,-211.56219030941313,-211.56219009571942,1.0100751439846131e-09
mapping_only_centered_fd,4.0,fixed_seed_random,0.00025,-211.56219030941313,-211.56219026306644,2.1906884516783931e-10
mapping_only_centered_fd,8.0,uniform,0.001,490349.82416590967,490342.4709870742,1.4995781527977074e-05
mapping_only_centered_fd,8.0,uniform,0.0005,490349.82416590967,490347.985849774,3.748989079006081e-06
mapping_only_centered_fd,8.0,uniform,0.00025,490349.82416590967,490349.3645854469,9.372501836968015e-07
mapping_only_centered_fd,8.0,smooth_asymmetric,0.001,44935.734904536046,44935.68541274362,1.1013905197640489e-06
mapping_only_centered_fd,8.0,smooth_asymmetric,0.0005,44935.734904536046,44935.7225323256,2.753312140881867e-07
mapping_only_centered_fd,8.0,smooth_asymmetric,0.00025,44935.734904536046,44935.73181159445,6.883033295910801e-08
mapping_only_centered_fd,8.0,central_localized,0.001,3173.9783892754317,3173.9700645930498,2.6227911349623268e-06
mapping_only_centered_fd,8.0,central_localized,0.0005,3173.9783892754317,3173.976308120473,6.55692857241586e-07
mapping_only_centered_fd,8.0,central_localized,0.00025,3173.9783892754317,3173.977868984366,1.6392394711910773e-07
mapping_only_centered_fd,8.0,design_edge_localized,0.001,992.1897569155773,992.1859424321156,3.8445100195171215e-06
mapping_only_centered_fd,8.0,design_edge_localized,0.0005,992.1897569155773,992.1888032913557,9.611308874184482e-07
mapping_only_centered_fd,8.0,design_edge_localized,0.00025,992.1897569155773,992.1895185107132,2.4028152112381847e-07
mapping_only_centered_fd,8.0,fixed_seed_random,0.001,-356.3416635348753,-356.3416598481126,1.0346145452757355e-08
mapping_only_centered_fd,8.0,fixed_seed_random,0.0005,-356.3416635348753,-356.3416625838727,2.6687943515852676e-09
mapping_only_centered_fd,8.0,fixed_seed_random,0.00025,-356.3416635348753,-356.3416632678127,7.49456576292246e-10
mapping_only_centered_fd,16.0,uniform,0.001,765022.1539095129,764998.9806686426,3.0290940924953535e-05
mapping_only_centered_fd,16.0,uniform,0.0005,765022.1539095129,765016.3605569542,7.572790577550318e-06
mapping_only_centered_fd,16.0,uniform,0.00025,765022.1539095129,765020.7055686624,1.8932011878760526e-06
