run,contact_axis,interface_scenario,polarization,id,kind,target_waist_um,beam_x_um,beam_y_um,terminal_current_nA,Tmax_flake_K,Au_absorbed_W,TaIrTe4_absorbed_W,SiO2_absorbed_W,Si_absorbed_W,optical_closure,Maxwell_wall_s,passed
55,y,evaporated,Ea,waist_6.375,waist,6.375,0.0,0.0,1166.4467855018695,4.299719752043779,6.825745216279393e-09,4.599124056944602e-05,6.783529898419675e-06,3.8971391556770914e-07,0.0006387996485930392,128.58933712914586,True
55,y,evaporated,Ea,waist_8.5,waist,8.5,0.0,0.0,794.3357148973025,2.97092492225324,3.854086834231897e-08,4.240239526128512e-05,7.26071663408601e-06,4.4658872469154793e-07,0.00027499526561067586,133.2823453359306,True
55,y,evaporated,Ea,waist_10.625,waist,10.625,0.0,0.0,533.5665412517807,2.1775839303982454,9.71287898671209e-08,3.87173980112651e-05,8.005508466796329e-06,5.036560823178867e-07,0.00013356849900391567,131.67939536646008,True
55,y,evaporated,Ea,waist_12.75,waist,12.75,0.0,0.0,366.67673761836176,1.6780935173659635,1.5454884181632297e-07,3.49533441332705e-05,8.677720770443603e-06,5.488563169706547e-07,0.0007066864534825556,207.38717894628644,True
55,y,evaporated,Ea,position_x-10_y-5,position,8.5,-10.0,-5.0,-116.2176684969795,1.6453229936305291,1.3237981082338553e-07,1.780771649973089e-05,1.0959373374151126e-05,7.774140747917523e-07,0.0021680455542685113,154.89248374849558,True
55,y,evaporated,Ea,position_x-10_y0,position,8.5,-10.0,0.0,-270.54429559734115,2.8723992506032934,2.7454477465429367e-08,2.8498404291084996e-05,7.2229845383927655e-06,5.206867317739394e-07,1.615288380748843e-05,127.40902012959123,True
55,y,evaporated,Ea,position_x-10_y5,position,8.5,-10.0,5.0,-217.2325817642125,3.1985857802391626,1.2426431187912996e-07,2.8684073433894963e-05,6.60940976673025e-06,4.5078558700053e-07,1.068219231713375e-05,127.19670946523547,True
55,y,evaporated,Ea,position_x-10_y10,position,8.5,-10.0,10.0,-50.76496962449625,2.341344857739216,3.3222646125123186e-07,1.754155294531732e-05,7.940390349506382e-06,5.006113449849123e-07,0.001305180815907343,127.06248701363802,True
55,y,evaporated,Ea,position_x-5_y-10,position,8.5,-5.0,-10.0,147.67159440757496,1.7649549002126672,4.4104951565178305e-07,1.845248704746373e-05,1.1189954766919033e-05,6.590830104250268e-07,0.010714499232295529,129.14499479532242,True
55,y,evaporated,Ea,position_x-5_y-5,position,8.5,-5.0,-5.0,323.8077297038587,2.7179471937562227,1.674133584717931e-07,3.434661463101112e-05,8.487317250386042e-06,5.468989049641075e-07,0.0016739920588828775,130.004968598485,True
55,y,evaporated,Ea,position_x-5_y0,position,8.5,-5.0,0.0,299.3147597279056,3.1449782641860833,3.698425741184182e-08,4.072336944876471e-05,6.963031718814432e-06,4.498314502182318e-07,0.00014368617972619009,158.2195498459041,True
55,y,evaporated,Ea,position_x-5_y5,position,8.5,-5.0,5.0,110.51291430667196,2.3853111726276994,1.7002664261186297e-07,3.18848158246173e-05,1.0038667816103191e-05,6.492859893983057e-07,1.1243417743303684e-05,203.42747865244746,True
55,y,evaporated,Ea,position_x-5_y10,position,8.5,-5.0,10.0,28.506471031204466,1.7080389153630964,4.437715048283638e-07,1.715496388892989e-05,1.193850142045244e-05,7.294766717992484e-07,0.00042067646906238305,129.04578077420592,True
55,y,evaporated,Ea,position_x0_y-10,position,8.5,0.0,-10.0,306.237133504598,2.2203330470341953,4.508767084029532e-07,2.4405085753964867e-05,8.800069519216366e-06,4.905499793794528e-07,0.008970293131185532,129.52268597111106,True
55,y,evaporated,Ea,position_x0_y-5,position,8.5,0.0,-5.0,738.0219230197823,3.143351514812466,1.6986056642231176e-07,4.151010804017781e-05,5.99283679896012e-06,3.5315499604711576e-07,0.0013733651807374355,130.2093169875443,True
55,y,evaporated,Ea,position_x0_y5,position,8.5,0.0,5.0,364.28524808369474,1.5098289895495278,1.7953846241486055e-07,2.7312676372589798e-05,1.2895901012443103e-05,8.374724186625121e-07,2.9462918200859272e-05,157.8313827700913,True
55,y,evaporated,Ea,position_x0_y10,position,8.5,0.0,10.0,77.39698111800274,0.7572032653526216,4.628612505219929e-07,1.2592010098276557e-05,1.4528659665831871e-05,8.973561104015494e-07,5.915989420973716e-06,151.17729218676686,True
55,y,evaporated,Ea,position_x5_y-10,position,8.5,5.0,-10.0,147.15245157044706,1.7578917783476178,4.4110464926294113e-07,1.8342572491241518e-05,1.1220509659370596e-05,6.618283443891496e-07,0.010742726492293405,201.81767566502094,True
55,y,evaporated,Ea,position_x5_y-5,position,8.5,5.0,-5.0,319.73873175645446,2.7192776039196644,1.6744446475644954e-07,3.4212431730889154e-05,8.533269710692507e-06,5.505063678878242e-07,0.0016748021336860939,127.7650615721941,True
55,y,evaporated,Ea,position_x5_y0,position,8.5,5.0,0.0,292.49268338607413,3.151325603177059,3.701021078453052e-08,4.067152420859299e-05,6.986157798842518e-06,4.515141323483311e-07,0.00014951728333363945,130.99806997179985,True
55,y,evaporated,Ea,position_x5_y5,position,8.5,5.0,5.0,106.1744445569626,2.393962863156703,1.7013459618021518e-07,3.188591647037821e-05,1.0038513232273035e-05,6.493414762460165e-07,5.205888685125283e-07,130.83969470858574,True
55,y,evaporated,Ea,position_x5_y10,position,8.5,5.0,10.0,27.450550367671685,1.7108718064105641,4.4400489134333836e-07,1.718255018192678e-05,1.193156054215224e-05,7.287711927554843e-07,0.00045304254021412177,129.35238813608885,True
55,y,evaporated,Ea,position_x10_y-10,position,8.5,10.0,-10.0,-12.56967699673287,0.7125787687504451,3.461831855434263e-07,7.751192095543773e-06,1.2284978504303367e-05,7.829860734360854e-07,0.013488012079811746,128.66567486152053,True
55,y,evaporated,Ea,position_x10_y-5,position,8.5,10.0,-5.0,-118.46985353981627,1.6454754914357563,1.32414122621927e-07,1.769694212130723e-05,1.0992877251211663e-05,7.802292766270639e-07,0.0021611998151525673,128.06934925541282,True
55,y,evaporated,Ea,position_x10_y0,position,8.5,10.0,0.0,-274.7373417834768,2.8699976623106043,2.7458966129614752e-08,2.8432985325466273e-05,7.245252070535473e-06,5.225575231122995e-07,3.118193536693132e-05,129.2196087576449,True
55,y,evaporated,Ea,position_x10_y5,position,8.5,10.0,5.0,-220.47450601921645,3.2002995581572953,1.2429357177072348e-07,2.8670722432607346e-05,6.610347470378304e-06,4.511109730887004e-07,3.0524380679838876e-05,131.13375136256218,True
55,y,evaporated,Ea,position_x10_y10,position,8.5,10.0,10.0,-51.91169690934191,2.3423499870407807,3.3233180445465e-07,1.7551801691250384e-05,7.936016043906968e-06,5.002960178053568e-07,0.001345349132806298,130.03423476219177,True
56,y,evaporated,Eb,position_x-10_y-10,position,8.5,-10.0,-10.0,9.58677137763395,0.5006776571739653,5.255038296409945e-07,4.781347747645626e-06,9.918880221495019e-06,7.842476053931626e-07,0.008195081796871857,121.88327226042747,True
56,y,evaporated,Eb,waist_4.25,waist,4.25,0.0,0.0,1777.271147499195,6.807140229978237,3.338889939763434e-09,4.9457182061914275e-05,1.258155566794417e-05,9.861754291995115e-07,0.00029317210958569427,118.78982290998101,True
56,y,evaporated,Eb,waist_6.375,waist,6.375,0.0,0.0,1329.9805135521742,4.608249800055358,8.469272834897968e-09,4.524432226132394e-05,1.2330750626175553e-05,9.868372587069863e-07,0.00017012273030686794,136.76042708009481,True
