evaluation_index,tag,global_iteration,stage_iteration,role,beta,objective_A,objective_A_per_W,relative_fom_change,rho_mean,rho_rms_change,rho_max_change,gray_fraction_0p01_0p99,binarization_metric,solid_constraint,void_constraint,constraint_cap,constraints_feasible,solid_bad_cells,void_bad_cells,optical_closure,thermal_residual,thermal_energy_balance,constraint_contract
43,run003_b002_s043_g043_accepted_mma,43,43,accepted_mma,2.0,1.210818060994664e-19,8.759476382231757e-07,0.00017238411052029458,0.4122013835947004,0.002006066282313023,0.013129203261299127,0.21406033249717887,0.10444364183075842,0.01375723756035113,0.008493082824200126,0.04,True,48,123,0.00018814561039333085,7.04808650702528e-11,1.1421526365550815e-11,legacy_zhou_p8_v1
44,run003_b002_s044_g044_accepted_mma,44,44,accepted_mma,2.0,1.2110267727283804e-19,8.76098627505635e-07,0.00017237249793333582,0.4121769051926191,0.0019850861362289154,0.013129856674212792,0.21142249279445693,0.10386184984275847,0.013416152672106678,0.010084233194802552,0.04,True,47,139,0.00018859927835410706,7.044319443111373e-11,1.1187412152287771e-11,legacy_zhou_p8_v1
45,run003_b004_s000_g044_stage_baseline,44,0,stage_baseline,4.0,1.21264799135453e-19,8.772714730985167e-07,0.0,0.41116410710322276,0.0,0.0,0.1682179847479677,0.07376276477305767,0.010990218653334034,0.0078123818086640855,0.03,True,47,139,0.00020632135785817796,9.530067615437363e-11,1.2131270918560895e-11,legacy_zhou_p8_v1
46,run003_b004_s001_g045_accepted_mma,45,1,accepted_mma,4.0,1.2134656711498284e-19,8.77863010926195e-07,0.0006742927882847797,0.4123478908089505,0.0071810511629593725,0.041470473576690314,0.17383866771126077,0.0759902326595055,0.010911996929022056,0.0080550904236172,0.03,True,50,168,0.00020328040374218358,9.527190612208626e-11,1.2836892556080518e-11,legacy_zhou_p8_v1
47,run003_b004_s002_g046_accepted_mma,46,2,accepted_mma,4.0,1.2141134748926568e-19,8.783316545456142e-07,0.0005338459572693074,0.4133426651057933,0.00680282926075916,0.04146953496282535,0.17975404121355001,0.0779758680070759,0.010710793593513988,0.008388522446753257,0.03,True,49,175,0.00020046230311431476,9.545149959458187e-11,1.3412728387915355e-11,legacy_zhou_p8_v1
48,run003_b004_s003_g047_accepted_mma,47,3,accepted_mma,4.0,1.2146303771500442e-19,8.787055995057504e-07,0.0004257446013711147,0.4140645608040128,0.006399547161304334,0.04146939948479211,0.18129218207562767,0.07961823631461071,0.010692095150993983,0.00892425509800679,0.03,True,52,109,0.00019789011926885043,9.557855728695854e-11,1.387457123046051e-11,legacy_zhou_p8_v1
49,run003_b004_s004_g048_accepted_mma,48,4,accepted_mma,4.0,1.215100776160321e-19,8.790459024095045e-07,0.00038727749538126937,0.41411483129060156,0.00603498867529478,0.041470456554553004,0.17900653350487677,0.0801219296851099,0.011123356805616913,0.009400619525343075,0.03,True,52,118,0.00019686579724096862,9.577371650654178e-11,1.4424486275543679e-11,legacy_zhou_p8_v1
50,run003_b004_s005_g049_accepted_mma,49,5,accepted_mma,4.0,1.2153238633861694e-19,8.792072914198725e-07,0.00018359565743456433,0.4142677188215759,0.002832311913985751,0.02074334192330546,0.17800746070193849,0.0804835762663022,0.010731896611243807,0.00965638306573781,0.03,True,55,110,0.00019628864909135358,9.589677848635192e-11,1.4668695015089602e-11,legacy_zhou_p8_v1
51,run003_b004_s006_g050_accepted_mma,50,6,accepted_mma,4.0,1.2155389591409565e-19,8.793628991238432e-07,0.0001769863665704983,0.4142929701644196,0.0026884683128173296,0.020742357871373074,0.17672807250824774,0.08064933849272304,0.010801847297320989,0.00957001742669188,0.03,True,73,111,0.0001959376592971376,9.604851775436646e-11,1.4841973422630074e-11,legacy_zhou_p8_v1
52,run003_b004_s007_g051_accepted_mma,51,7,accepted_mma,4.0,1.215749960694825e-19,8.7951554494135e-07,0.0001735868293498865,0.4143941292181855,0.0026116090103467265,0.02074319024586163,0.17586556361362476,0.08084253580717826,0.010942026492008502,0.009707637744951113,0.03,True,111,111,0.00019690612970460467,9.61585594228833e-11,1.4994187624791484e-11,legacy_zhou_p8_v1
53,run003_b004_s008_g052_accepted_mma,52,8,accepted_mma,4.0,1.215954410941073e-19,8.796634513164729e-07,0.00016816800564080538,0.41431736372039235,0.002779904085349629,0.020741346601202082,0.17482336536595533,0.08075483795424346,0.010748805823911712,0.00944438116239142,0.03,True,133,124,0.00019675833090399266,9.632966033089277e-11,1.5090211440924724e-11,legacy_zhou_p8_v1
54,run003_b004_s009_g053_accepted_mma,53,9,accepted_mma,4.0,1.2160565214397665e-19,8.797373215807593e-07,8.397559791291426e-05,0.41444523442538145,0.001392402187282473,0.010372182867327717,0.17454304997520287,0.08089501261864265,0.010878338427900038,0.009610693699759192,0.03,True,161,134,0.00019653737705036578,9.634666785085553e-11,1.5130687843069197e-11,legacy_zhou_p8_v1
55,run003_b004_s010_g054_accepted_mma,54,10,accepted_mma,4.0,1.216156286135165e-19,8.798094948098574e-07,8.203952171580415e-05,0.41447156571406385,0.0012939905693219696,0.010371497443566025,0.17421960913971926,0.0809304523638174,0.010870386343460476,0.009511561011654861,0.03,True,179,124,0.0001964200312725906,9.643324915647475e-11,1.5156868822078815e-11,legacy_zhou_p8_v1
56,run003_b004_s011_g055_accepted_mma,55,11,accepted_mma,4.0,1.216255086591812e-19,8.798809704753131e-07,8.123993418733135e-05,0.4145136300659112,0.0012709838119831032,0.010372424694616023,0.17392491860072307,0.08094105097377904,0.010710360774367255,0.009516220125850718,0.03,True,201,132,0.0001963255492793215,9.652415357356812e-11,1.5174355940937484e-11,legacy_zhou_p8_v1
57,run003_b004_s012_g056_accepted_mma,56,12,accepted_mma,4.0,1.2163529042600227e-19,8.799517351576431e-07,8.042529012958372e-05,0.41450796814037677,0.0013157473285568182,0.010372707214728216,0.17351522687577717,0.08094628622115065,0.010568003268461171,0.009434536293251581,0.03,True,219,138,0.00019619677811462304,9.662495858792611e-11,1.517477205171372e-11,legacy_zhou_p8_v1
58,run003_b008_s000_g056_stage_baseline,56,0,stage_baseline,8.0,1.2173793609946169e-19,8.806943094397506e-07,0.0,0.4131601292862386,0.0,0.0,0.09891539506501161,0.04643286901092277,0.009291808943169813,0.00928802632772407,0.02,True,219,138,0.0002170850066511646,7.190350779774449e-11,5.432554256483789e-12,legacy_zhou_p8_v1
59,run003_b008_s001_g057_accepted_mma,57,1,accepted_mma,8.0,1.2185572937395145e-19,8.815464667036018e-07,0.0009675971045995921,0.41505030178406216,0.011711412738121147,0.07988328053779242,0.10136635784056523,0.04849939422599221,0.009724347227614498,0.0097279592568457,0.02,True,373,187,0.00021373162080934,7.795911403518223e-11,5.869770497992771e-12,legacy_zhou_p8_v1
60,run003_b008_s002_g058_accepted_mma,58,2,accepted_mma,8.0,1.2194295227936976e-19,8.821774673506963e-07,0.0007157883003649223,0.4164786657340815,0.011182427882731738,0.07988334638683947,0.10370231943016912,0.050535173886241784,0.010397918563214318,0.010401613541319823,0.02,True,514,221,0.00021037882734297136,7.797153251694582e-11,6.112785416637129e-12,legacy_zhou_p8_v1
61,run003_b008_s003_g059_accepted_mma,59,3,accepted_mma,8.0,1.2201373016372482e-19,8.826894990310655e-07,0.0005804179990075213,0.4171307398646436,0.010223477247339635,0.07988270698833344,0.1062467206693069,0.05230702482783952,0.011595252153324803,0.01158620324349641,0.02,True,628,307,0.00020760396207667342,7.7929588829318e-11,6.285490684554524e-12,legacy_zhou_p8_v1
62,run003_b008_s004_g060_accepted_mma,60,4,accepted_mma,8.0,1.2207182164384656e-19,8.831097528780533e-07,0.00047610609104228614,0.4177352536899404,0.00997359081892483,0.07988301538401726,0.10797892603267471,0.05377204627455703,0.011959368172615373,0.011940207793781446,0.02,True,702,329,0.00020560231837335937,7.791962232328577e-11,6.405409584306136e-12,legacy_zhou_p8_v1
63,run003_b008_s005_g061_accepted_mma,61,5,accepted_mma,8.0,1.2210329376955122e-19,8.83337433113994e-07,0.00025781646641173526,0.4175746241484992,0.0057088670412247565,0.040005508131263745,0.10856830711066708,0.05386983230487076,0.012184430938627961,0.012171920366936826,0.02,True,633,347,0.00020505035502396636,7.804439849711615e-11,6.361605355318968e-12,legacy_zhou_p8_v1
64,run003_b008_s006_g062_accepted_mma,62,6,accepted_mma,8.0,1.221314602959803e-19,8.835411995021683e-07,0.00023067785937240761,0.4176675596311019,0.004825365695590731,0.04000547898122664,0.10918643848514688,0.05437042679796922,0.012376294300539504,0.012358238764620957,0.02,True,486,370,0.00020436932901820865,7.835703422058764e-11,6.392261887000409e-12,legacy_zhou_p8_v1
65,run003_b008_s007_g063_accepted_mma,63,7,accepted_mma,8.0,1.2215679483440056e-19,8.837244783101873e-07,0.0002074366290132555,0.4177327829729256,0.0053977856508029545,0.040005378626582266,0.1098692580267234,0.054481882405333755,0.012488272386892754,0.012477646606739803,0.02,True,413,383,0.00020416894910371512,7.859646726412534e-11,6.407922083098744e-12,legacy_zhou_p8_v1
66,run003_b008_s008_g064_accepted_mma,64,8,accepted_mma,8.0,1.2218287217670322e-19,8.839131308182477e-07,0.0002134743494047865,0.41788119268706664,0.005659527361723502,0.0400055117690275,0.11037238821525347,0.05501202461566705,0.012513214993436184,0.012496538319435584,0.02,True,402,391,0.00020328449049610226,7.909041104917808e-11,6.3610116034476915e-12,legacy_zhou_p8_v1
67,run003_b008_s009_g065_accepted_mma,65,9,accepted_mma,8.0,1.221958997507788e-19,8.840073767921962e-07,0.0001066235704195246,0.41786490394688536,0.002900042046967023,0.020010754946402753,0.11081083023668682,0.05499163690503178,0.012480438379292075,0.012466592848905934,0.02,True,416,419,0.00020324647616589374,7.920270597578945e-11,6.356831930033475e-12,legacy_zhou_p8_v1
68,run003_b008_s010_g066_accepted_mma,66,10,accepted_mma,8.0,1.2220851999622886e-19,8.840986760100712e-07,0.00010327879638999636,0.4178514473435992,0.002319881456304209,0.020008019348263628,0.11107677047919556,0.05510158173636509,0.012337386882514245,0.01232224855835934,0.02,True,365,412,0.00020304457267105846,7.930592119710592e-11,6.331977446757717e-12,legacy_zhou_p8_v1
69,run003_b008_s011_g067_accepted_mma,67,11,accepted_mma,8.0,1.222206640842674e-19,8.841865305406437e-07,9.93718608073465e-05,0.4179001190013831,0.002468894961223734,0.02001052336679604,0.11129958527697317,0.05515811071011844,0.012504806969764384,0.01249229833534483,0.02,True,357,403,0.000202980418518952,7.946584993591469e-11,6.3290712452737866e-12,legacy_zhou_p8_v1
