absolute_error,analytic,direction,family,finite_difference,minimum_Q_minus_W_m3,minimum_Q_plus_W_m3,relative_error,space,step
4.823777425943952e-32,-4.0105234677187155e-21,6,unrestricted,-4.010523467670478e-21,-173.81183957151057,-200.31674574252781,1.2027800023541156e-11,source_Q,0.0001
1.67426506743551e-31,-4.0105234677187155e-21,6,unrestricted,-4.010523467886142e-21,-52.143549828953645,-60.09502372275834,4.174679641976695e-11,source_Q,3e-05
1.8365472347416704e-31,-4.0105234677187155e-21,6,unrestricted,-4.010523467535061e-21,-17.381181331080246,-20.03167457425278,4.579320503979855e-11,source_Q,1e-05
1.504632769052528e-36,-2.4966963997219344e-21,7,unrestricted,-2.496696399721933e-21,-19044.470021018307,-17252.725487369084,6.026494728073883e-16,source_Q,0.01
2.1079905094425917e-33,-2.4966963997219344e-21,7,unrestricted,-2.4966963997198264e-21,-5704.86768799196,-5133.518388967105,8.443119114031509e-13,source_Q,0.003
1.3556741249163277e-33,-2.4966963997219344e-21,7,unrestricted,-2.4966963997205787e-21,-1893.5527356987182,-1670.8877894236841,5.429871749994568e-13,source_Q,0.001
4.3645635048291206e-33,-2.4966963997219344e-21,7,unrestricted,-2.4966963997175698e-21,-559.5925023960833,-499.4757389516139,1.7481354582460315e-12,source_Q,0.0003
4.364939663021384e-33,-2.4966963997219344e-21,7,unrestricted,-2.4966963997175694e-21,-184.7302883900435,-166.49191298387132,1.7482861206142333e-12,source_Q,0.0001
1.0681388027503896e-32,-2.4966963997219344e-21,7,unrestricted,-2.4966963997326157e-21,-55.41908651701305,-49.9475738951614,4.278208607459649e-12,source_Q,3e-05
6.125341194903228e-31,-2.4966963997219344e-21,7,unrestricted,-2.4966964003344685e-21,-18.47302883900435,-16.649191298387134,2.4533784706804673e-10,source_Q,1e-05
4.3775409624621987e-35,4.136167842733311e-22,0,positivity_preserving,4.136167842733749e-22,0.0,0.0,1.0583567033317924e-13,source_Q,0.01
1.7367223736788805e-33,4.136167842733311e-22,0,positivity_preserving,4.136167842715944e-22,0.0,0.0,4.198868227095927e-12,source_Q,0.003
1.7741030940350292e-33,4.136167842733311e-22,0,positivity_preserving,4.136167842751052e-22,0.0,0.0,4.2892434772730245e-12,source_Q,0.001
1.3058895881703022e-32,4.136167842733311e-22,0,positivity_preserving,4.1361678428639e-22,0.0,0.0,3.1572451549918945e-11,source_Q,0.0003
2.810517655245427e-32,4.136167842733311e-22,0,positivity_preserving,4.136167843014363e-22,0.0,0.0,6.794979706114024e-11,source_Q,0.0001
3.813604600621311e-32,4.136167842733311e-22,0,positivity_preserving,4.1361678431146715e-22,0.0,0.0,9.220139862847443e-11,source_Q,3e-05
2.1263611351572425e-31,4.136167842733311e-22,0,positivity_preserving,4.13616784060695e-22,0.0,0.0,5.1408966367092e-10,source_Q,1e-05
1.011489378995562e-33,-5.174320973906473e-22,1,positivity_preserving,-5.174320973916588e-22,0.0,0.0,1.9548253463524794e-12,source_Q,0.01
1.664500000764359e-35,-5.174320973906473e-22,1,positivity_preserving,-5.1743209739063065e-22,0.0,0.0,3.216847213689e-14,source_Q,0.003
2.741817063405969e-33,-5.174320973906473e-22,1,positivity_preserving,-5.174320973933891e-22,0.0,0.0,5.298892506345564e-12,source_Q,0.001
1.7069118369420272e-32,-5.174320973906473e-22,1,positivity_preserving,-5.174320973735782e-22,0.0,0.0,3.2988132076649174e-11,source_Q,0.0003
8.008031755089817e-33,-5.174320973906473e-22,1,positivity_preserving,-5.174320973986553e-22,0.0,0.0,1.5476488210672345e-11,source_Q,0.0001
1.2336324206229965e-31,-5.174320973906473e-22,1,positivity_preserving,-5.174320975140105e-22,0.0,0.0,2.384143594578048e-10,source_Q,3e-05
3.531038328175169e-31,-5.174320973906473e-22,1,positivity_preserving,-5.174320970375435e-22,0.0,0.0,6.824157886574497e-10,source_Q,1e-05
3.745125001719808e-34,-2.784538437864717e-22,2,positivity_preserving,-2.7845384378609718e-22,0.0,0.0,1.3449715582276907e-12,source_Q,0.01
1.3307536446788952e-33,-2.784538437864717e-22,2,positivity_preserving,-2.7845384378780244e-22,0.0,0.0,4.7790816121732705e-12,source_Q,0.003
1.5815100995963056e-33,-2.784538437864717e-22,2,positivity_preserving,-2.784538437880532e-22,0.0,0.0,5.6796131024467514e-12,source_Q,0.001
8.853917489941535e-33,-2.784538437864717e-22,2,positivity_preserving,-2.784538437953256e-22,0.0,0.0,3.1796714922459585e-11,source_Q,0.0003
2.640795078896302e-32,-2.784538437864717e-22,2,positivity_preserving,-2.7845384381287964e-22,0.0,0.0,9.48378030263916e-11,source_Q,0.0001
1.0414729485008562e-31,-2.784538437864717e-22,2,positivity_preserving,-2.78453843890619e-22,0.0,0.0,3.7401995761261416e-10,source_Q,3e-05
4.552282899689335e-31,-2.784538437864717e-22,2,positivity_preserving,-2.784538442417e-22,0.0,0.0,1.6348429017127116e-09,source_Q,1e-05
7.927533901945507e-35,3.441949092659919e-22,3,positivity_preserving,3.441949092659126e-22,0.0,0.0,2.3032106775928964e-13,source_Q,0.01
2.7625527837544743e-33,3.441949092659919e-22,3,positivity_preserving,3.4419490926322934e-22,0.0,0.0,8.026129118660465e-12,source_Q,0.003
7.482726839594353e-34,3.441949092659919e-22,3,positivity_preserving,3.4419490926674017e-22,0.0,0.0,2.1739795209497838e-12,source_Q,0.001
1.7307273524896868e-32,3.441949092659919e-22,3,positivity_preserving,3.441949092486846e-22,0.0,0.0,5.0283351261078366e-11,source_Q,0.0003
1.278533483637966e-32,3.441949092659919e-22,3,positivity_preserving,3.4419490927877723e-22,0.0,0.0,3.7145624447627215e-11,source_Q,0.0001
2.234339225037336e-31,3.441949092659919e-22,3,positivity_preserving,3.441949094894258e-22,0.0,0.0,6.491494106644823e-10,source_Q,3e-05
2.2343387548395955e-31,3.441949092659919e-22,3,positivity_preserving,3.4419490948942577e-22,0.0,0.0,6.491492740564943e-10,source_Q,1e-05
2.633107345841924e-35,-6.429450695061363e-22,4,positivity_preserving,-6.4294506950611e-22,0.0,0.0,4.095384614838847e-14,source_Q,0.01
9.265716670921599e-34,-6.429450695061363e-22,4,positivity_preserving,-6.429450695070629e-22,0.0,0.0,1.4411365932145416e-12,source_Q,0.003
1.0795740117951888e-33,-6.429450695061363e-22,4,positivity_preserving,-6.429450695050567e-22,0.0,0.0,1.6791076920839274e-12,source_Q,0.001
1.712892752199011e-32,-6.429450695061363e-22,4,positivity_preserving,-6.429450694890074e-22,0.0,0.0,2.6641354501944166e-11,source_Q,0.0003
2.299455029304526e-32,-6.429450695061363e-22,4,positivity_preserving,-6.429450695291309e-22,0.0,0.0,3.576440878644268e-11,source_Q,0.0001
1.4587283040596967e-31,-6.429450695061363e-22,4,positivity_preserving,-6.429450696520091e-22,0.0,0.0,2.2688225996976472e-10,source_Q,3e-05
4.5563947789285114e-32,-6.429450695061363e-22,4,positivity_preserving,-6.429450695517003e-22,0.0,0.0,7.086755922132513e-11,source_Q,1e-05
1.6720231646096218e-34,-8.94351125029331e-22,5,positivity_preserving,-8.943511250291637e-22,0.0,0.0,1.8695377216132943e-13,source_Q,0.01
5.433605087240942e-34,-8.94351125029331e-22,5,positivity_preserving,-8.943511250287876e-22,0.0,0.0,6.075471853476724e-13,source_Q,0.003
2.0895587580216983e-34,-8.94351125029331e-22,5,positivity_preserving,-8.943511250295399e-22,0.0,0.0,2.3363964102501346e-13,source_Q,0.001
6.979803336538546e-33,-8.94351125029331e-22,5,positivity_preserving,-8.943511250363107e-22,0.0,0.0,7.804321078379185e-12,source_Q,0.0003
3.7072458717589106e-32,-8.94351125029331e-22,5,positivity_preserving,-8.943511250664034e-22,0.0,0.0,4.1451794133286615e-11,source_Q,0.0001
8.83136680631536e-32,-8.94351125029331e-22,5,positivity_preserving,-8.943511249410173e-22,0.0,0.0,9.874608036106322e-11,source_Q,3e-05
1.886224566402901e-31,-8.94351125029331e-22,5,positivity_preserving,-8.943511248407085e-22,0.0,0.0,2.109042537785191e-10,source_Q,1e-05
8.995823167972802e-34,-4.268257867390025e-22,6,positivity_preserving,-4.268257867399021e-22,0.0,0.0,2.1076100478141007e-12,source_Q,0.01
6.9899596077296504e-34,-4.268257867390025e-22,6,positivity_preserving,-4.268257867397015e-22,0.0,0.0,1.6376610375707933e-12,source_Q,0.003
1.2005088706077858e-33,-4.268257867390025e-22,6,positivity_preserving,-4.26825786740203e-22,0.0,0.0,2.8126437246910732e-12,source_Q,0.001
2.2766974586726064e-32,-4.268257867390025e-22,6,positivity_preserving,-4.268257867617695e-22,0.0,0.0,5.334020411622347e-11,source_Q,0.0003
2.7387513741390246e-32,-4.268257867390025e-22,6,positivity_preserving,-4.26825786711615e-22,0.0,0.0,6.416555557862134e-11,source_Q,0.0001
1.735659726785737e-32,-4.268257867390025e-22,6,positivity_preserving,-4.268257867216459e-22,0.0,0.0,4.0664359575047575e-11,source_Q,3e-05
1.0802943547333727e-31,-4.268257867390025e-22,6,positivity_preserving,-4.26825786847032e-22,0.0,0.0,2.530995990160164e-10,source_Q,1e-05
6.454874579235345e-34,5.883442769588533e-22,7,positivity_preserving,5.883442769594988e-22,0.0,0.0,1.0971254131340478e-12,source_Q,0.01
1.4108753396309424e-33,5.883442769588533e-22,7,positivity_preserving,5.883442769574424e-22,0.0,0.0,2.3980437898091663e-12,source_Q,0.003
2.664704633992027e-33,5.883442769588533e-22,7,positivity_preserving,5.883442769561886e-22,0.0,0.0,4.529158756784146e-12,source_Q,0.001
5.1723632227141966e-33,5.883442769588533e-22,7,positivity_preserving,5.883442769536809e-22,0.0,0.0,8.791388690734105e-12,source_Q,0.0003
1.2381623056533253e-32,5.883442769588533e-22,7,positivity_preserving,5.883442769712349e-22,0.0,0.0,2.104486019738946e-11,source_Q,0.0001
