case,projection,method,region,cell_count,raw_max_abs_K_m,p99_abs_K_m,rms_abs_K_m,mean_abs_K_m,median_abs_K_m,raw_max_over_p99
Maxwell_b,thickness_average,least_squares_radius_0.3um,original_staircase_edge,282,7719.991213644361,7716.453559492504,4958.036324767282,4273.614666189848,4533.558980123624,1.0004584559635565
Maxwell_b,thickness_average,least_squares_radius_0.3um,inside_n_0p1um,847,6787.924418514966,6760.728249821573,4044.5408132332623,3499.9096479498294,3602.453219452036,1.004022668518604
Maxwell_b,thickness_average,least_squares_radius_0.3um,inside_n_0p2um,1130,5820.004470763653,5774.245113453487,3283.5562811812338,2859.8261832436992,2680.8751339165347,1.0079247341273323
Maxwell_b,thickness_average,least_squares_radius_0.3um,inside_n_0p3um,1130,4374.232684209905,4341.528839967622,2313.0811318160236,2040.1508808539365,1784.180860210407,1.0075327944251378
Maxwell_b,thickness_average,least_squares_radius_0.3um,inside_band_0p1_to_0p3um,1695,6298.774632857147,6250.153777889526,3309.3389333142104,2861.8738157264465,2582.8960177640856,1.0077791453931295
Maxwell_b,thickness_average,least_squares_radius_0.4um,original_staircase_edge,282,6517.571575665021,6513.139850842411,4186.742170458352,3631.40410674208,3809.4940452040482,1.0006804283224529
Maxwell_b,thickness_average,least_squares_radius_0.4um,inside_n_0p1um,847,5651.794211918349,5627.730520323266,3365.401377809155,2942.5479514901676,2882.137325446258,1.0042759139777895
Maxwell_b,thickness_average,least_squares_radius_0.4um,inside_n_0p2um,1130,4827.444383776613,4799.49344868241,2765.187096055352,2439.044504859381,2058.4275684890445,1.0058237260646488
Maxwell_b,thickness_average,least_squares_radius_0.4um,inside_n_0p3um,1130,3709.779204390067,3676.703879570198,2122.1306499552616,1900.7141465636782,1710.5304957956391,1.0089959175128718
Maxwell_b,thickness_average,least_squares_radius_0.4um,inside_band_0p1_to_0p3um,1695,5201.144560452093,5151.328213937703,2788.7640032571776,2445.877848554716,2048.039443919259,1.009670582895418
analytic_a,surface,mask_aware_finite_difference,original_staircase_edge,282,5396.934564032941,5395.416348550454,4026.3684488412423,3771.3072365409957,4232.295902263996,1.0002813898658431
