center_um,current_A,objective_A2,node_signature,node_count
-0.1750000000000136,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.15000000000001368,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.12500000000001377,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.10000000000001386,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.07500000000001394,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.05000000000001403,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-0.025000000000014122,7.433469419514514e-11,5.5256467610857445e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469,12
-1.4210854715202004e-14,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
0.024999999999986144,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.04999999999998561,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.07499999999998508,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.09999999999998543,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.12499999999998579,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.14999999999998526,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.17499999999998472,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.19999999999998508,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.22499999999998543,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.2499999999999849,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.27499999999998437,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.2999999999999847,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.3249999999999851,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.34999999999998455,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.374999999999984,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.39999999999998437,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.4249999999999847,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.4499999999999842,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.47499999999998366,7.433469419515026e-11,5.525646761086506e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,12
0.499999999999984,5.93506952428299e-11,3.522505025807271e-21,979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,13
0.5249999999999844,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.5499999999999838,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.5749999999999833,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.5999999999999837,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.624999999999984,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.6499999999999835,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.674999999999983,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.6999999999999833,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.7249999999999837,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.7499999999999831,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.7749999999999826,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.799999999999983,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.8249999999999833,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.8499999999999828,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.8749999999999822,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.8999999999999826,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.924999999999983,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.9499999999999824,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.9749999999999819,6.682996382902843e-11,4.466244065389249e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567,12
0.9999999999999822,4.881136106339445e-11,2.38254896886106e-21,1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,13
1.0249999999999826,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.049999999999982,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.0749999999999815,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.0999999999999819,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.1249999999999822,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
1.1499999999999817,5.207648762947546e-11,2.7119605638229107e-21,1077:1126:1175:1224:1273:1322:1371:1420:1469:1518:1567:1616,12
