length_um,current_A,objective_A2,node_signature,node_count
6.149999999999985,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.174999999999985,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.199999999999985,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.224999999999985,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.249999999999985,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.274999999999984,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.299999999999985,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.324999999999985,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.3499999999999845,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.374999999999984,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.399999999999984,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.424999999999985,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.449999999999984,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.474999999999984,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.499999999999984,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.524999999999984,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.549999999999984,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.574999999999983,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.599999999999984,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.624999999999984,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.6499999999999835,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.674999999999983,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.699999999999983,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.724999999999984,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.749999999999983,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.774999999999983,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
6.799999999999983,6.2901712191382e-11,3.9566253966074555e-21,930:979:1028:1077:1126:1175:1224:1273:1322:1371:1420:1469:1518,13
